Operation,Time
readDataFromFile,33.6118
allocateInputData,0.210491
allocateOutputData,1.68345
SubmissionCopyToDevice,0.0396023
ExecutionCopyToDevice,0.109774
SubmissionMakeClusters,0.0284711
ExecutionMakeClusters,6.83859
SubmissionCopyToHost,0.269602
ExecutionCopyToHost,0.270481
writeDataToFile,75.3572
freeInputData,2.64121
freeOutputData,0.610473
